,date,sainsburys_count
0,2016-11-02,2733.0
0,2016-11-01,2735.0
1,2016-10-31,2729.0
2,2016-10-30,2734.0
3,2016-10-29,2734.0
4,2016-10-28,2735.0
5,2016-10-27,2735.0
6,2016-10-26,2740.0
7,2016-10-25,2746.0
8,2016-10-24,2746.0
9,2016-10-19,2746.0
10,2016-10-18,2731.0
11,2016-10-17,2726.0
12,2016-10-16,2725.0
13,2016-10-15,2727.0
14,2016-10-14,2724.0
15,2016-10-12,2737.0
16,2016-10-11,2741.0
17,2016-10-10,2736.0
18,2016-10-09,2738.0
19,2016-10-08,2738.0
20,2016-10-07,2725.0
21,2016-10-06,2729.0
22,2016-10-05,2733.0
23,2016-10-04,2735.0
24,2016-10-03,2734.0
25,2016-09-23,2729.0
26,2016-09-22,2726.0
27,2016-09-21,2726.0
28,2016-09-20,2730.0
29,2016-09-19,2729.0
30,2016-09-18,2729.0
31,2016-09-17,2731.0
32,2016-09-16,2730.0
33,2016-09-15,2728.0
34,2016-09-14,2726.0
35,2016-09-10,2726.0
36,2016-09-09,2727.0
37,2016-09-07,2732.0
38,2016-09-06,2730.0
39,2016-09-05,2729.0
40,2016-09-04,2734.0
41,2016-09-03,2741.0
42,2016-09-02,2732.0
43,2016-08-31,1536.0
44,2016-08-30,2739.0
45,2016-08-29,2732.0
46,2016-08-28,2729.0
47,2016-08-27,2730.0
48,2016-08-26,2729.0
49,2016-08-25,2729.0
50,2016-08-24,2730.0
51,2016-08-23,2733.0
52,2016-08-22,2735.0
53,2016-08-21,2734.0
54,2016-08-20,2734.0
55,2016-08-19,2731.0
56,2016-08-18,2668.0
57,2016-08-17,2668.0
58,2016-08-11,2683.0
59,2016-08-10,2512.0
60,2016-08-09,2512.0
61,2016-08-08,2539.0
62,2016-08-06,2604.0
63,2016-08-05,2602.0
64,2016-08-04,2602.0
65,2016-08-03,1944.0
66,2016-08-02,2599.0
67,2016-08-01,2601.0
68,2016-07-26,1712.0
69,2016-07-25,2603.0
70,2016-07-23,2602.0
71,2016-07-22,2602.0
72,2016-07-20,2592.0
73,2016-07-13,2661.0
74,2016-07-11,2665.0
75,2016-07-10,2667.0
76,2016-07-09,2125.0
77,2016-07-08,2329.0
78,2016-07-07,1616.0
79,2016-07-05,1071.0
80,2016-07-04,2963.0
81,2016-07-03,2964.0
82,2016-07-02,2970.0
83,2016-07-01,2972.0
84,2016-06-30,2967.0
85,2016-06-29,2970.0
86,2016-06-28,2852.0
87,2016-06-27,2847.0
88,2016-06-26,2858.0
89,2016-06-25,2860.0
90,2016-06-24,2863.0
91,2016-06-23,2863.0
92,2016-06-22,2866.0
93,2016-06-21,2865.0
94,2016-06-20,2862.0
95,2016-06-19,2865.0
96,2016-06-18,2868.0
97,2016-06-17,2866.0
98,2016-06-16,2866.0
99,2016-06-15,2860.0
100,2016-06-14,2857.0
101,2016-06-13,2855.0
102,2016-06-12,2856.0
103,2016-06-11,2857.0
104,2016-06-10,2862.0
105,2016-06-09,2860.0
106,2016-06-07,1867.0
107,2016-06-04,2191.0
108,2016-05-25,77.0
109,2016-05-20,2214.0
110,2016-05-19,2210.0
111,2016-05-18,2210.0
112,2015-11-04,2007.0
113,2015-11-03,2009.0
114,2014-11-26,2576.0
115,2014-11-25,2448.0
116,2014-07-24,2350.0
117,2014-07-23,2439.0
118,2014-07-22,2521.0
119,2014-07-21,2505.0
120,2014-07-20,2507.0
121,2014-07-19,2496.0
122,2014-07-18,2492.0
123,2014-07-17,2495.0
124,2014-07-16,2495.0
125,2014-07-15,2499.0
126,2014-07-14,2500.0
127,2014-07-13,2492.0
128,2014-07-12,2461.0
129,2014-07-11,2461.0
130,2014-07-10,2499.0
131,2014-07-09,2501.0
132,2014-07-08,2498.0
133,2014-07-07,2489.0
134,2014-07-06,2493.0
135,2014-07-05,2496.0
136,2014-07-04,2497.0
137,2014-07-03,2529.0
138,2014-07-02,
139,2014-07-01,
140,2014-06-30,
141,2014-06-29,
142,2014-06-28,
143,2014-06-27,
144,2014-06-26,
145,2014-06-25,
146,2014-06-24,
147,2014-06-24,
148,2014-06-24,
149,2014-06-24,
150,2014-06-24,
151,2014-06-24,
152,2014-06-24,
153,2014-06-24,
154,2014-06-23,
155,2014-06-22,
156,2014-06-21,
157,2014-06-20,
158,2014-06-19,
159,2014-06-18,
160,2014-06-17,
161,2014-06-16,
162,2014-06-16,
163,2014-06-16,
164,2014-06-15,
165,2014-06-14,
166,2014-06-13,
167,2014-06-12,
168,2014-06-11,
169,2014-06-10,
170,2014-06-09,
171,2014-06-08,
172,2014-06-07,
173,2014-06-06,
174,2014-06-05,
175,2014-06-04,
176,2014-06-03,
177,2014-06-02,
178,2014-06-01,
179,2014-05-31,
180,2014-05-30,
181,2014-05-29,
182,2014-05-27,
183,2014-05-26,
184,2014-05-25,
185,2014-05-24,
186,2014-05-23,
187,2014-05-22,
188,2014-05-21,
189,2014-05-20,
190,2014-05-19,
191,2014-05-18,
192,2014-05-17,
193,2014-05-16,
194,2014-05-15,
195,2014-05-14,
196,2014-05-12,
197,2014-05-11,
198,2014-05-10,
199,2014-05-09,
200,2014-05-08,
201,2014-05-07,
202,2014-05-06,
203,2014-05-02,
204,2014-05-01,
205,2014-04-30,
206,2014-04-28,
207,2014-04-27,
208,2014-04-26,
209,2014-04-25,
210,2014-04-24,
211,2014-04-23,
212,2014-04-22,
213,2014-04-17,
214,2014-04-16,
215,2014-04-15,
216,2014-04-14,
