ONS_ITEM_NAME,MEAN_COUNT,MEAN_7DAY,Dif:TODAY-MEAN,Dif:TODAY-7DAYMEAN,2016_11_02,2016_11_01,2016_10_31,2016_10_30,2016_10_29,2016_10_28,2016_10_27,2016_10_26,2016_10_25,2016_10_24,2016_10_19,2016_10_18,2016_10_17,2016_10_16,2016_10_15,2016_10_14,2016_10_12,2016_10_11,2016_10_10,2016_10_09,2016_10_08,2016_10_07,2016_10_06,2016_10_05,2016_10_04,2016_10_03,2016_09_23,2016_09_22,2016_09_21,2016_09_20,2016_09_19,2016_09_18,2016_09_17,2016_09_16,2016_09_15,2016_09_14,2016_09_10,2016_09_09,2016_09_07,2016_09_06,2016_09_05,2016_09_04,2016_09_03,2016_09_02,2016_08_31,2016_08_30,2016_08_29,2016_08_28,2016_08_27,2016_08_26,2016_08_25,2016_08_24,2016_08_23,2016_08_22,2016_08_21,2016_08_20,2016_08_19,2016_08_18,2016_08_17,2016_08_11,2016_08_10,2016_08_09,2016_08_08,2016_08_06,2016_08_05,2016_08_04,2016_08_03,2016_08_02,2016_08_01,2016_07_26,2016_07_25,2016_07_23,2016_07_22,2016_07_20,2016_07_13,2016_07_11,2016_07_10,2016_07_09,2016_07_08,2016_07_07,2016_07_05,2016_07_04,2016_07_03,2016_07_02,2016_07_01,2016_06_30,2016_06_29,2016_06_28,2016_06_27,2016_06_26,2016_06_25,2016_06_24,2016_06_23,2016_06_22,2016_06_21,2016_06_20,2016_06_19,2016_06_18,2016_06_17,2016_06_16,2016_06_15,2016_06_14,2016_06_13,2016_06_12,2016_06_11,2016_06_10,2016_06_09,2016_06_07,2016_06_04,2016_05_25,2016_05_20,2016_05_19,2016_05_18,2015_11_04,2015_11_03,2014_11_26,2014_11_25,2014_07_24,2014_07_23,2014_07_22,2014_07_21,2014_07_20,2014_07_19,2014_07_18,2014_07_17,2014_07_16,2014_07_15,2014_07_14,2014_07_13,2014_07_12,2014_07_11,2014_07_10,2014_07_09,2014_07_08,2014_07_07,2014_07_06,2014_07_05,2014_07_04,2014_07_03,2014_07_02,2014_07_01,2014_06_30,2014_06_29,2014_06_28,2014_06_27,2014_06_26,2014_06_25,2014_06_24,2014_06_23,2014_06_22,2014_06_21,2014_06_20,2014_06_19,2014_06_18,2014_06_17,2014_06_16,2014_06_15,2014_06_14,2014_06_13,2014_06_12,2014_06_11,2014_06_10,2014_06_09,2014_06_08,2014_06_07,2014_06_06,2014_06_05
"Apple Cider, bottle, 4.5%-5.5% ABV",55,21,-34,0,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,17,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,16,15,15.0,15,15,15,15,15,15,15,15,15,15,15,14,14,14,13,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13,13,13,13.0,13.0,0.0,91.0,91,91,91,91,91,91,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,77.0,89.0,87.0,87.0,77.0,77.0,90.0,90.0,91.0,91.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,87.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,94.0,94.0,94.0,94.0,91.0,92.0,92.0,91.0,91.0,91.0,91.0,92.0,92.0,92.0,92.0,92.0,92.0,93.0,93.0,92.0,92.0,96.0,96.0,95.0,95.0,95.0,95.0,95.0,90.0,90.0
"Apples, dessert, per kg",39,41,3,1,42,42,42,42,42,42,41,41,41,41,39,36,31,30,30,30,32,35,34,36,34,34,36,36,37,37,30,30,30,30,29,29,32,31,30,28,29,28,30,30,31,32,32,31,31.0,32,33,33,33,33,34,34,34,34,34,34,34,32,32,35,34.0,35.0,35.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38,38,39,39.0,39.0,39.0,39.0,39,39,40,40,40,40,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,40.0,40.0,0.0,44.0,44.0,44.0,39.0,39.0,50.0,50.0,42.0,42.0,42.0,42.0,42.0,42.0,41.0,41.0,42.0,41.0,42.0,42.0,42.0,43.0,44.0,44.0,44.0,43.0,45.0,45.0,45.0,46.0,46.0,46.0,46.0,46.0,45.0,47.0,47.0,47.0,47.0,49.0,50.0,48.0,48.0,48.0,48.0,48.0,50.0,50.0,50.0,50.0,51.0,49.0,49.0,46.0,46.0,46.0,46.0,46.0
"Bananas, per kg",17,15,-2,0,15,15,15,15,15,15,15,15,15,15,15,13,13,13,13,13,15,16,15,15,15,15,15,15,15,15,16,16,16,17,17,17,17,17,17,17,17,16,17,17,17,17,17,15,15.0,15,14,14,14,14,14,14,14,14,14,14,14,17,17,16,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,12.0,13,13,14,14.0,13.0,14.0,14.0,15,15,15,15,16,16,16.0,15.0,16.0,16.0,16.0,16.0,16.0,15.0,14.0,14.0,15.0,15.0,15.0,12.0,12.0,12.0,12.0,12.0,16.0,15.0,16.0,17.0,0.0,16.0,19.0,19.0,17.0,17.0,17.0,17.0,18.0,18.0,21.0,21.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,22.0,22.0,23.0,23.0,23.0,23.0,23.0,24.0,24.0,24.0,24.0,24.0,24.0,25.0,22.0,22.0,23.0,25.0,25.0,23.0,22.0,22.0,26.0,24.0,26.0,22.0,25.0,23.0,23.0,25.0,26.0,26.0,26.0,26.0,26.0,26.0
"Bitter, 4 cans, 3.4%-7.5% ABV",79,22,-57,0,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22.0,22,22,22,22,22,22,22,22,22,22,22,22,14,14,14,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14,14,14,14.0,14.0,0.0,137.0,137,136,138,135,135,135,134.0,135.0,135.0,136.0,136.0,136.0,137.0,137.0,137.0,137.0,137.0,137.0,138.0,138.0,138.0,137.0,137.0,137.0,137.0,137.0,133.0,133.0,0.0,133.0,131.0,131.0,126.0,126.0,140.0,141.0,120.0,131.0,132.0,136.0,135.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,137.0,136.0,135.0,135.0,135.0,135.0,135.0,135.0,136.0,136.0,136.0,136.0,136.0,136.0,135.0,135.0,135.0,133.0,134.0,135.0,134.0,134.0,135.0,135.0,135.0,134.0,134.0
"Brandy, bottle",28,30,2,0,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,29,29,29,29,29,29,29,29,29,29,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28.0,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,30.0,30.0,29.0,29.0,29.0,29.0,29,29,29,29.0,29.0,29.0,29.0,29,29,29,29,29,29,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,0.0,29.0,29.0,29.0,28.0,28.0,30.0,30.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0
"Breakfast Cereal 1, sugar/chocolate coated",77,122,44,-1,121,121,121,123,123,123,123,123,123,123,123,123,123,123,123,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,122,122,122,122,122,122,122,122,124.0,124,124,124,124,124,124,124,124,124,124,124,124,99,99,104,0.0,0.0,48.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,46.0,46.0,46.0,47.0,47,48,47,47.0,48.0,48.0,48.0,48,48,48,48,48,48,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,47.0,47.0,47.0,47.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,0.0,47.0,47.0,47.0,44.0,44.0,61.0,30.0,50.0,57.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,57.0,58.0,58.0,58.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,49.0,57.0,57.0,58.0,58.0,57.0,58.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,52.0,53.0,53.0,52.0,52.0
"Breakfast Cereal 2, NOT sugar/chocolate coated",66,69,5,2,71,71,71,69,69,69,69,69,73,73,75,75,75,75,75,75,75,75,75,75,75,74,74,74,74,74,75,75,75,76,76,76,76,76,76,75,75,75,73,73,73,73,74,74,74.0,74,74,74,74,74,74,74,74,74,74,73,73,64,64,67,0.0,0.0,0.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63,63,63,63.0,63.0,63.0,63.0,63,62,62,62,62,62,62.0,62.0,62.0,62.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,0.0,63.0,63.0,63.0,56.0,56.0,59.0,59.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
"Cheese Cheddar, home produced, per kg",120,117,-4,-1,116,120,117,117,117,117,117,119,119,119,119,118,118,118,119,119,119,119,119,119,119,119,120,120,120,120,117,117,117,117,117,117,117,117,116,116,116,116,117,117,117,117,117,117,117.0,116,116,115,115,115,115,115,115,115,115,117,117,121,121,121,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121,121,121,121.0,121.0,121.0,121.0,121,121,121,121,121,121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,122.0,122.0,122.0,127.0,127.0,143.0,143.0,97.0,102.0,124.0,118.0,120.0,119.0,121.0,121.0,119.0,119.0,119.0,118.0,118.0,116.0,112.0,112.0,113.0,114.0,113.0,110.0,111.0,127.0,128.0,129.0,128.0,127.0,128.0,128.0,106.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,130.0,130.0,129.0,129.0,128.0,129.0,129.0
"Cola Flavoured Drink, bottle",67,65,-2,0,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,64,64,64,64,64,64,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,66,66,66.0,66,66,66,66,66,66,66,66,66,66,66,66,64,64,64,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,65.0,65.0,65.0,65.0,66.0,67,67,67,67.0,67.0,67.0,67.0,67,67,67,68,68,70,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,69.0,69.0,69.0,69.0,69.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,75.0,64.0,64.0,70.0,70.0,69.0,69.0,69.0,69.0,69.0,70.0,70.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,66.0,66.0,67.0,68.0,69.0,69.0,69.0,68.0,69.0,70.0,70.0,70.0,69.0,71.0,70.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,70.0,70.0,67.0,67.0,67.0,67.0,67.0
"Dry Spaghetti or pasta, 500g",58,21,-36,1,22,22,22,22,22,21,21,21,21,21,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,21,21,21,21,21,21,21,21,21,21,21,21.0,21,21,21,21,21,21,21,21,21,21,21,21,21,21,20,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87,86,86,77.0,77.0,77.0,77.0,77,77,77,80,80,80,80.0,80.0,88.0,90.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,90.0,90.0,90.0,90.0,90.0,0.0,86.0,86.0,86.0,74.0,74.0,83.0,28.0,85.0,86.0,82.0,79.0,84.0,78.0,78.0,79.0,78.0,78.0,80.0,80.0,80.0,80.0,78.0,80.0,80.0,78.0,78.0,78.0,80.0,85.0,85.0,84.0,87.0,87.0,86.0,85.0,85.0,81.0,82.0,86.0,87.0,81.0,84.0,83.0,86.0,84.0,87.0,86.0,85.0,86.0,85.0,85.0,84.0,85.0,86.0,86.0,87.0,86.0
