,date,tescos_count
0,2015-11-04,2155
1,2015-11-03,2144
2,2014-11-26,3043
3,2014-11-25,2994
4,2014-07-23,3181
5,2014-07-22,3163
6,2014-07-21,3146
7,2014-07-20,3091
8,2014-07-19,3179
9,2014-07-18,3284
10,2014-07-17,3276
11,2014-07-16,3263
12,2014-07-15,3117
13,2014-07-14,3117
14,2014-07-13,3024
15,2014-07-12,3057
16,2014-07-11,3008
17,2014-07-10,3114
18,2014-07-09,3129
19,2014-07-08,3123
20,2014-07-07,3130
21,2014-07-06,3131
22,2014-07-05,3141
23,2014-07-04,3133
24,2014-07-03,3119
25,2014-07-02,3140
26,2014-07-01,3126
27,2014-06-30,3133
28,2014-06-29,3136
29,2014-06-28,3157
30,2014-06-27,3147
31,2014-06-26,3138
32,2014-06-25,3140
33,2014-06-24,3122
34,2014-06-24,3122
35,2014-06-21,3097
36,2014-06-21,3097
37,2014-06-23,3117
38,2014-06-22,3102
39,2014-06-20,3097
40,2014-06-19,3094
41,2014-06-18,3042
42,2014-06-17,2991
43,2014-06-16,3007
44,2014-06-16,3007
45,2014-06-16,3007
46,2014-06-16,3007
47,2014-06-16,3007
48,2014-06-15,3013
49,2014-06-14,3018
50,2014-06-13,3025
51,2014-06-12,3021
52,2014-06-11,3009
53,2014-06-10,3053
54,2014-06-10,3053
55,2014-06-10,3053
56,2014-06-10,3053
57,2014-06-08,2932
58,2014-06-07,2947
59,2014-06-06,2949
60,2014-06-05,2941
61,2014-06-04,2940
62,2014-06-03,2958
63,2014-06-02,2959
64,2014-06-01,2954
65,2014-05-31,2965
66,2014-05-30,2960
67,2014-05-29,2959
68,2014-05-28,2960
69,2014-05-27,2951
70,2014-05-26,2951
71,2014-05-25,2953
72,2014-05-24,2954
73,2014-05-23,2960
74,2014-05-22,2956
75,2014-05-21,2970
76,2014-05-20,2980
77,2014-05-19,2980
78,2014-05-18,2970
79,2014-05-17,2972
80,2014-05-16,2968
81,2014-05-15,2965
82,2014-05-14,2965
83,2014-05-12,2941
84,2014-05-11,2927
85,2014-05-10,2957
86,2014-05-09,2951
87,2014-05-08,2958
88,2014-05-07,2957
89,2014-05-06,2933
90,2014-05-02,2940
91,2014-05-01,2923
92,2014-04-30,2931
93,2014-04-28,2918
94,2014-04-27,2915
95,2014-04-26,2948
96,2014-04-25,2684
97,2014-04-24,2954
98,2014-04-23,2954
99,2014-04-22,2935
100,2014-04-17,2941
101,2014-04-16,2955
102,2014-04-15,2955
103,2014-04-14,2965
