ONS_ITEM_NAME,MEAN_COUNT,MEAN_7DAY,Dif:TODAY-MEAN,Dif:TODAY-7DAYMEAN,2016_11_02,2016_11_01,2016_10_31,2016_10_30,2016_10_29,2016_10_28,2016_10_27,2016_10_26,2016_10_25,2016_10_24,2016_10_19,2016_10_18,2016_10_17,2016_10_16,2016_10_15,2016_10_14,2016_10_12,2016_10_11,2016_10_10,2016_10_09,2016_10_08,2016_10_07,2016_10_06,2016_10_05,2016_10_04,2016_10_03,2016_09_23,2016_09_22,2016_09_21,2016_09_20,2016_09_19,2016_09_18,2016_09_17,2016_09_16,2016_09_15,2016_09_14,2016_09_13,2016_09_11,2016_09_09,2016_09_07,2016_09_06,2016_09_05,2016_09_04,2016_09_03,2016_09_02,2016_09_01,2016_08_31,2016_08_30,2016_08_29,2016_08_28,2016_08_27,2016_08_26,2016_08_25,2016_08_24,2016_08_23,2016_08_22,2016_08_21,2016_08_20,2016_08_19,2016_08_18,2016_08_17,2016_08_16,2016_08_15,2016_08_13,2016_08_12,2016_08_11,2016_08_10,2016_08_09,2016_08_08,2016_08_07,2016_08_06,2016_08_05,2016_08_04,2016_08_03,2016_08_02,2016_08_01,2016_07_25,2016_07_24,2016_07_23,2016_07_22,2016_07_20,2016_07_15,2016_07_13,2016_07_12,2016_07_11,2016_07_10,2016_07_09,2016_07_08,2016_07_07,2016_07_06,2016_07_05,2016_07_04,2016_07_03,2016_07_02,2016_07_01,2016_06_30,2016_06_29,2016_06_28,2016_06_27,2016_06_26,2016_06_25,2016_06_24,2016_06_23,2016_06_22,2016_06_21,2016_06_20,2016_06_19,2016_06_18,2016_06_17,2016_06_16,2016_06_15,2016_06_14,2016_06_13,2016_06_12,2016_06_11,2016_06_09,2016_06_07,2016_06_06,2016_06_05,2016_06_04,2016_06_03,2016_06_02,2016_06_01,2016_05_31,2016_05_30,2016_05_29,2016_05_28,2016_05_27,2016_05_26,2016_05_25,2016_05_24,2016_05_23,2016_05_22,2016_05_20,2016_05_19,2016_05_18,2015_11_04,2015_11_03,2014_11_26,2014_11_25,2014_07_24,2014_07_23,2014_07_22,2014_07_21,2014_07_20,2014_07_19,2014_07_18,2014_07_17,2014_07_16,2014_07_15,2014_07_14,2014_07_13,2014_07_12,2014_07_11,2014_07_10,2014_07_09,2014_07_08,2014_07_07,2014_07_06,2014_07_05,2014_07_04,2014_07_03,2014_07_02,2014_07_01,2014_06_30,2014_06_29,2014_06_28,2014_06_27,2014_06_26,2014_06_25,2014_06_24,2014_06_23,2014_06_22,2014_06_21,2014_06_20,2014_06_19,2014_06_18,2014_06_17,2014_06_16,2014_06_15,2014_06_14,2014_06_13,2014_06_12,2014_06_11,2014_06_10,2014_06_09,2014-06-24
"Apple Cider, bottle, 4.5%-5.5% ABV",29,31,2,0,31,31,31,31,31,31,31,31.0,30,30,30,30,30,30.0,30,30.0,31,31.0,31.0,31.0,31,31.0,31,31.0,31,31,31.0,31,31,31,31,31,31,31,31,31,31,31.0,31,31,31,31,31,31,31.0,31,31.0,31,31,31,31,31.0,31,26,31.0,31,31,31,31,31,31,31.0,31.0,31.0,31.0,31,31,31,31,31.0,31,31,31,31,31,31.0,31,31.0,31,31.0,31.0,31.0,31.0,31.0,31.0,31,31,31,31,31,31,31.0,31,31,31.0,31,30,31,31,31,31,31,31.0,31,31,31,31,31,31,31,31,31,31,30,30,30,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31,31.0,31.0,31.0,31,31.0,31,31.0,31.0,31.0,31.0,31,31,24.0,24.0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
"Apples, dessert, per kg",25,27,4,2,29,29,27,27,27,27,27,27.0,27,27,27,27,27,27.0,27,27.0,27,26.0,27.0,26.0,26,26.0,26,26.0,26,26,26.0,26,26,26,26,26,26,26,26,26,24,24.0,24,24,24,24,27,27,27.0,25,25.0,25,25,27,27,27.0,27,24,27.0,26,26,26,26,26,26,26.0,24.0,24.0,24.0,27,27,26,26,25.0,24,24,24,24,24,25.0,27,27.0,27,27.0,27.0,27.0,27.0,27.0,27.0,27,27,27,27,27,27,27.0,28,28,28.0,28,27,28,28,29,29,28,28.0,28,28,28,28,28,28,28,28,27,27,28,28,28,27.0,27.0,27.0,27.0,27.0,27.0,27.0,28,28.0,28.0,28.0,28,28.0,28,28.0,28.0,28.0,28.0,28,28,24.0,24.0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,8,24,24,24,24,24,24,24,24,24,24
"Bananas, per kg",4,5,1,0,5,5,5,5,5,5,5,5.0,5,5,5,5,5,4.0,4,4.0,4,4.0,4.0,4.0,4,4.0,4,4.0,4,4,4.0,4,4,4,4,4,4,4,4,4,4,4.0,4,4,4,4,4,4,4.0,4,4.0,4,4,4,4,4.0,4,4,4.0,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4,4,4,4,4.0,4,4,4,4,4,4.0,4,4.0,4,4.0,4.0,4.0,4.0,4.0,4.0,4,4,4,4,4,4,4.0,4,4,4.0,4,4,4,4,4,4,4,4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4.0,4.0,4.0,4,4.0,4,4.0,4.0,4.0,4.0,4,4,5.0,5.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"Bitter, 4 cans, 3.4%-7.5% ABV",193,215,90,68,283,282,48,283,48,283,283,283.0,283,283,282,284,287,216.0,287,240.0,288,288.0,288.0,144.0,288,288.0,289,48.0,289,289,48.0,289,288,288,288,286,286,286,287,287,285,286.0,286,289,287,288,288,288,288.0,289,48.0,48,288,288,288,288.0,287,281,48.0,285,286,286,286,286,285,287.0,287.0,285.0,285.0,285,286,287,216,43.0,288,288,288,288,289,289.0,289,289.0,289,289.0,290.0,48.0,24.0,20.0,289.0,289,289,289,288,288,288,288.0,287,48,287.0,286,283,286,286,287,287,287,287.0,286,286,286,287,96,287,287,286,240,287,288,288,287,285.0,285.0,285.0,285.0,285.0,285.0,285.0,285,285.0,285.0,285.0,285,262.0,283,283.0,283.0,281.0,281.0,48,48,24.0,24.0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
"Brandy, bottle",21,19,1,3,22,21,20,21,12,21,21,21.0,20,20,21,21,21,21.0,21,21.0,21,21.0,21.0,21.0,21,21.0,21,12.0,21,21,12.0,21,21,21,21,21,21,21,21,20,20,20.0,20,21,21,21,21,21,21.0,21,12.0,21,21,21,22,22.0,22,21,12.0,22,22,22,22,22,22,3.0,22.0,22.0,22.0,22,22,22,22,0.0,22,22,22,22,22,22.0,22,22.0,22,22.0,22.0,22.0,12.0,0.0,22.0,22,22,22,23,23,23,23.0,22,22,22.0,21,21,21,22,22,22,22,22.0,21,22,22,21,21,21,19,19,19,20,21,21,20,21.0,21.0,20.0,20.0,20.0,21.0,21.0,21,21.0,22.0,22.0,22,0.0,22,22.0,22.0,22.0,22.0,22,22,20.0,20.0,22,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,22,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,18,22,22,23
"Breakfast Cereal 1, sugar/chocolate coated",202,444,303,61,505,504,264,503,336,500,499,501.0,500,503,500,503,408,432.0,500,192.0,495,498.0,493.0,168.0,493,491.0,491,24.0,497,497,48.0,498,335,500,500,499,499,498,496,495,191,499.0,499,499,191,500,500,500,167.0,495,48.0,48,215,492,492,239.0,493,457,143.0,492,491,491,491,491,494,0.0,490.0,490.0,490.0,490,487,485,493,0.0,492,492,487,487,488,482.0,484,484.0,484,484.0,96.0,0.0,37.0,0.0,37.0,37,37,37,37,37,37,37.0,39,39,39.0,39,36,39,39,39,39,39,39.0,39,39,39,39,39,39,39,39,39,39,39,39,39,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39,38.0,38.0,38.0,38,0.0,38,39.0,39.0,39.0,26.0,39,39,24.0,24.0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
"Breakfast Cereal 2, NOT sugar/chocolate coated",35,40,6,1,41,41,41,40,40,40,40,41.0,41,41,40,41,41,41.0,41,41.0,40,41.0,40.0,40.0,40,41.0,41,41.0,42,42,41.0,41,41,41,41,41,41,41,41,41,41,41.0,41,41,41,41,41,41,41.0,41,41.0,41,41,41,41,41.0,41,39,41.0,41,41,41,41,41,41,0.0,41.0,41.0,41.0,41,41,41,41,0.0,41,41,39,39,39,39.0,39,39.0,39,39.0,39.0,39.0,39.0,0.0,39.0,39,39,39,39,39,39,39.0,40,40,40.0,40,35,40,40,40,40,39,39.0,39,39,39,39,39,39,39,39,39,39,39,39,39,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39,39.0,39.0,39.0,39,0.0,39,39.0,39.0,39.0,0.0,39,39,24.0,24.0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
"Cola Flavoured Drink, bottle",48,59,6,-5,54,60,60,60,60,60,60,24.0,60,60,60,60,60,60.0,60,60.0,60,60.0,60.0,48.0,60,60.0,60,60.0,60,60,0.0,60,60,60,60,60,60,59,59,58,58,58.0,58,58,59,59,59,59,59.0,48,59.0,59,59,59,59,59.0,59,58,48.0,59,59,59,59,59,63,0.0,63.0,63.0,63.0,63,63,63,63,0.0,63,63,63,63,63,63.0,63,63.0,63,63.0,63.0,63.0,0.0,0.0,62.0,62,62,62,62,62,61,51.0,52,52,52.0,51,51,51,51,60,60,60,60.0,60,58,51,61,61,61,60,60,24,60,60,60,60,60.0,50.0,50.0,50.0,50.0,58.0,61.0,61,61.0,61.0,61.0,61,0.0,61,61.0,61.0,59.0,0.0,48,48,24.0,24.0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
"Cheese Cheddar, home produced, per kg",76,88,12,0,88,88,88,88,88,88,88,72.0,88,88,88,88,88,88.0,88,88.0,88,88.0,88.0,88.0,88,88.0,88,88.0,89,89,48.0,89,89,89,90,90,90,90,90,90,48,89.0,89,89,48,89,89,89,89.0,89,89.0,89,89,89,89,89.0,89,77,89.0,89,89,89,89,89,89,0.0,88.0,88.0,88.0,88,89,89,89,0.0,89,89,89,89,90,90.0,90,90.0,90,90.0,90.0,90.0,48.0,0.0,90.0,90,90,90,90,90,90,90.0,90,48,90.0,90,84,90,90,90,90,90,90.0,89,89,89,89,89,89,89,89,89,89,48,89,89,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89,89.0,89.0,89.0,89,0.0,89,89.0,89.0,89.0,0.0,48,48,24.0,24.0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dry Spaghetti or pasta, 500g",54,67,17,4,71,69,69,66,66,66,66,48.0,66,66,68,68,48,71.0,71,48.0,71,71.0,71.0,48.0,71,71.0,71,71.0,71,71,73.0,73,73,70,69,69,69,69,69,69,69,68.0,68,69,69,69,69,69,69.0,70,45.0,45,69,69,69,69.0,69,62,69.0,70,69,69,69,69,69,0.0,71.0,71.0,71.0,71,71,71,71,0.0,71,71,70,70,70,70.0,68,67.0,67,67.0,67.0,67.0,48.0,0.0,70.0,70,24,70,70,70,70,69.0,70,48,70.0,70,68,70,70,70,70,70,69.0,69,69,69,69,69,69,69,69,24,69,69,69,69,68.0,69.0,69.0,69.0,67.0,67.0,67.0,67,67.0,67.0,67.0,67,0.0,67,67.0,67.0,67.0,0.0,47,47,24.0,24.0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,16,24,24,24
