product_name,match,miss,missing 
ASPALL DRY SUFFOLK CYDER PREMIER CRU 500ML,ARMAGNAC XO CH. DU TARIQUET 70CL,#N/A,"Apple Cider, bottle, 4.5%-5.5% ABV"
ASPALL ORGANIC SUFFOLK CYDER 500ML,ARMAGNAC XO CH. DU TARIQUET 70CL,#N/A,"Apple Cider, bottle, 4.5%-5.5% ABV"
ASPALL PERRONELLE'S BLUSH SUFFOLK CYDER 500ML,ARMAGNAC XO CH. DU TARIQUET 70CL,#N/A,"Apple Cider, bottle, 4.5%-5.5% ABV"
BULMERS ORIGINAL CIDER 568ML,BRAZIN OLD VINE ZINFANDEL CALIFORNIAN RED WINE 75CL,#N/A,"Apple Cider, bottle, 4.5%-5.5% ABV"
BULMERS PEAR CIDER 568ML,BRAZIN OLD VINE ZINFANDEL CALIFORNIAN RED WINE 75CL,#N/A,"Apple Cider, bottle, 4.5%-5.5% ABV"
FROME VALLEY DRY CIDER 500ML,FLEURIE BOUCHARD PÈRE 75CL,#N/A,"Apple Cider, bottle, 4.5%-5.5% ABV"
HENRY WESTONS VINTAGE PERRY 500ML,HEIRLOOM TOMATO PER KG,#N/A,"Apple Cider, bottle, 4.5%-5.5% ABV"
KOPPARBERG MIXED FRUITS SPARKLING FRUIT CIDER SWEDEN 4X330ML,KINGSMILL WHOLEMEAL MEDIUM 800G,#N/A,"Apple Cider, bottle, 4.5%-5.5% ABV"
MAGNERS ORIGINAL IRISH CIDER 12X440ML,MACON VILLAGES CHAPELLE LES LOUPS FRENCH WHITE WINE 75CL,#N/A,"Apple Cider, bottle, 4.5%-5.5% ABV"
OLD MOUT CIDER SUMMER BERRIES 500ML,OLD JAMAICA GINGER BEER 1.5LITRE,#N/A,"Apple Cider, bottle, 4.5%-5.5% ABV"
ORCHARD PIG CHARMER MEDIUM SPARKLING CIDER 50CL,OLD PULTENEY SINGLE MALT WHISKY 12 YEARS OLD 70CL,#N/A,"Apple Cider, bottle, 4.5%-5.5% ABV"
